PSO-Schaffer,CPSO-S-Schaffer,CPSO-S-Schaffer,CPSO-Sk-Schaffer,CPSO-Sk-Schaffer,CPSO-Hk-Schaffer,CPSO-Hk-Schaffer,CPSO-Rk-Schaffer,CPSO-Rk-Schaffer,PSO-Rastrigin,CPSO-S-Rastrigin,CPSO-S-Rastrigin,CPSO-Sk-Rastrigin,CPSO-Sk-Rastrigin,CPSO-Hk-Rastrigin,CPSO-Hk-Rastrigin,CPSO-Rk-Rastrigin,CPSO-Rk-Rastrigin,PSO-Rosenbrock,CPSO-S-Rosenbrock,CPSO-S-Rosenbrock,CPSO-Sk-Rosenbrock,CPSO-Sk-Rosenbrock,CPSO-Hk-Rosenbrock,CPSO-Hk-Rosenbrock,CPSO-Rk-Rosenbrock,CPSO-Rk-Rosenbrock,PSO-Griewanck,CPSO-S-Griewanck,CPSO-S-Griewanck,CPSO-Sk-Griewanck,CPSO-Sk-Griewanck,CPSO-Hk-Griewanck,CPSO-Hk-Griewanck,CPSO-Rk-Griewanck,CPSO-Rk-Griewanck,PSO-Ackley,CPSO-S-Ackley,CPSO-S-Ackley,CPSO-Sk-Ackley,CPSO-Sk-Ackley,CPSO-Hk-Ackley,CPSO-Hk-Ackley,CPSO-Rk-Ackley,CPSO-Rk-Ackley
0.424977513,0.500199474,0.483837887,0.418996541,0.449798267,0.480764301,0.484230214,0.474117382,0.465234957,42.07468067,53.00875581,52.55310244,44.53057002,43.81041544,57.89948492,60.28910205,41.16694127,39.48033397,5688796.416,1.97E+07,1.38E+07,4496861.52,5891862.094,2.23E+07,1.71E+07,4756539.855,4683539.817,44.76856653,56.14336248,67.03984401,40.69044509,49.8279013,76.51883006,75.52336264,37.54925077,42.44831676,19.00044503,19.52794277,19.1397456,18.88115884,19.51017433,19.91152777,20.20466907,18.86148746,18.8740142
0.346343586,0.46534435,0.461560087,0.368676852,0.382876275,0.442731116,0.456775397,0.432066318,0.440720139,33.92763686,30.01301161,31.46751228,35.24532388,37.52929652,40.09324526,38.63541037,31.01370194,28.65161492,1431257.495,3528233.274,1907793.435,1032352.515,2096017.298,3706487.403,3144262.679,793902.4251,1224771.824,22.55844189,21.29384431,22.44793129,22.40229008,29.92543644,32.42887608,36.38855904,18.10264205,21.24188578,17.57448695,17.18312924,17.01187697,17.20631139,17.74848649,17.33764547,17.46190811,16.99671654,17.41439344
0.310592933,0.472060664,0.463342752,0.327001929,0.350764582,0.392690819,0.409935818,0.413849046,0.430529098,32.23930102,23.28367846,25.42828458,33.16571716,34.04435832,34.74077004,32.50048141,26.89525078,26.18822587,1091018.963,1480173.817,727813.7952,625214.0351,1266122.371,2629619.359,2447323.84,510478.4592,762919.0708,18.56452192,13.26255172,16.30849539,19.88660213,24.70446562,25.78679946,24.39142588,13.97838632,17.35618045,16.61253342,16.17144326,16.22982077,16.09027072,17.15083561,16.36868111,16.76936655,16.32047155,16.89487198
0.287167676,0.457084333,0.462221857,0.286555116,0.328063793,0.371795971,0.385754191,0.395732682,0.403385682,29.73538264,17.2363156,21.51098199,31.43357535,31.50192502,30.97279196,28.44526925,23.48124465,23.59440153,553107.8012,628259.4277,269074.5118,402622.0369,452324.5627,2152895.477,1178925.674,308567.787,348454.2625,15.07074786,7.945393179,8.473132875,16.33750347,17.65239411,23.11948105,17.34204254,11.29411118,13.22726861,15.47494622,15.11579288,14.81915288,14.97985485,16.27957946,15.69511748,15.8842619,15.27339862,16.48125869
0.259349259,0.448750537,0.454808169,0.254147325,0.298238985,0.352921026,0.352819718,0.379972579,0.424292048,27.52658717,14.16214169,17.60549813,29.05870983,29.41742545,27.02490711,25.62027557,21.21474369,22.5040914,379736.4053,451626.8313,196350.4634,321139.2534,244756.2098,1845182.521,977459.7132,259791.903,202426.0973,12.22040749,5.230154057,5.932899004,13.80484043,14.12127292,20.31963395,14.19527646,9.013257077,11.25230364,14.64995746,14.27343651,14.4298848,14.13688467,15.74412886,15.04452885,15.39945558,14.83085335,15.81051961
0.234299717,0.439100841,0.460914509,0.22773723,0.256870084,0.333658103,0.329026832,0.36738496,0.391558728,25.78890041,11.94623056,14.20805338,28.29748551,27.24054781,25.38005949,23.3298461,19.44830657,19.48297732,245864.7515,373664.0096,224349.3402,247079.7435,149319.3351,1712309.008,883851.4774,123501.0585,177368.3886,10.508546,3.705732929,4.422631732,11.22464119,10.85404178,17.42457188,12.86344571,7.231625027,10.07331519,13.77260722,13.74366754,14.27936035,13.70530573,15.25958103,14.42758849,14.75042145,14.27755058,15.49261085
0.212724462,0.413554751,0.435004187,0.216562349,0.231263454,0.325483472,0.31889479,0.364211031,0.368017716,24.42909319,10.1959218,12.62064227,26.73377527,26.07368622,22.88225757,21.54509955,17.54300063,16.97910879,212564.0326,324067.0403,210800.5973,172697.1461,101095.9602,1633303.104,510218.6312,103594.4041,148971.5783,9.274764758,2.931786417,3.846911018,9.581026941,10.10834338,16.21804875,11.86771879,6.404074121,8.961082911,13.09827045,13.73429467,13.87538236,13.00483508,14.73810759,14.10984439,14.38283601,13.55068982,14.91222066
0.187781888,0.410140499,0.431117019,0.198437886,0.224829006,0.315351494,0.313651316,0.34459624,0.38236222,23.86165355,9.04522559,10.96077821,25.0907481,25.39140282,21.39297502,20.65655343,16.5674233,16.37213734,105966.1964,160174.7726,192641.9596,113729.4292,91376.80313,1514768.151,496105.55,79704.52183,138697.4119,8.310033726,2.694006851,3.233704526,8.897100376,8.842275711,15.58870828,11.3620057,5.655801829,8.05370987,12.72793356,13.60129312,13.78494974,12.5491048,13.74876176,13.824627,14.26159252,13.56248429,14.77101276
0.169797208,0.412958169,0.431964653,0.18214682,0.202264498,0.303397449,0.302527364,0.330629678,0.359006426,23.07826737,8.141974597,9.864992133,24.38061427,24.35940688,20.82393022,19.50402429,15.28523268,15.42221255,73918.25498,193544.2909,197781.3363,94816.96694,77819.68187,1424906.741,475170.8545,91460.77777,107735.9036,7.767377174,2.58149987,2.838916189,8.156790803,7.89043533,14.62642466,11.15243923,4.76777581,7.481500987,12.07151494,12.99980314,13.66089723,12.00868884,13.42011777,13.48759349,14.03683928,13.38173721,14.1338246
0.150296262,0.415455644,0.414750499,0.178644757,0.189717244,0.298883571,0.295289127,0.335229469,0.335506325,22.28990449,7.131568583,8.655485826,23.90860866,23.80258731,20.29262052,18.80943842,14.88888545,14.66828374,61604.51593,130233.4807,163183.385,81559.28845,62922.30762,1364879.354,470163.7583,83417.45397,88563.17428,7.275383531,2.282796883,2.430761983,7.205359942,7.486439281,14.06142557,10.51267187,4.452064585,6.390364598,11.65770544,12.56330122,13.63772954,11.81882394,12.82803154,13.39568079,13.74185376,13.00219934,13.76709142
